Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
7,F,-1,298.1,0.03495078,1.637249,-0.1604174,1.877002
7,F,-1,298.3222,0.03967563,1.640137,-0.1594733,2.241831
7,F,-1,298.5445,0.04379207,1.645035,-0.1633236,359.2592
7,F,-1,298.7667,0.04190121,1.651135,-0.1732045,354.0322
7,F,-1,298.9889,0.03703607,1.658796,-0.1832619,348.3895
7,F,-1,299.2111,0.04221059,1.663176,-0.1897622,350.6782
7,F,-1,299.4333,0.04833692,1.663247,-0.1922155,355.1317
7,F,-1,299.6555,0.05369381,1.663064,-0.1922924,358.9212
7,F,-1,299.8778,0.06081298,1.659695,-0.1925365,2.884445
7,F,-1,300.1,0.06668959,1.657038,-0.1918921,5.608343
7,F,-1,300.3222,0.07180601,1.657752,-0.1910183,7.639928
7,F,-1,300.5445,0.07396264,1.656877,-0.1901592,9.169921
7,F,-1,300.7667,0.07495878,1.658411,-0.189074,10.00471
7,F,-1,300.9889,0.07610246,1.654196,-0.1893767,9.625582
7,F,-1,301.2111,0.07751234,1.652574,-0.1898916,9.733292
7,F,-1,301.4333,0.07894148,1.655072,-0.1891172,9.965325
7,F,-1,301.6555,0.0797206,1.653431,-0.1911356,11.72687
7,F,-1,301.8778,0.0725448,1.654965,-0.1912906,7.257619
7,F,-1,302.1,0.06027257,1.650795,-0.1898139,358.28
7,F,-1,302.3222,0.05185133,1.65353,-0.19123,353.8292
7,F,-1,302.5445,0.0446173,1.652906,-0.1949845,349.5711
7,F,-1,302.7667,0.04213389,1.652301,-0.2013096,348.6199
7,F,-1,302.9889,0.04593902,1.651899,-0.2068174,351.0702
7,F,-1,303.2111,0.04918386,1.655178,-0.2091677,353.2115
7,F,-1,303.4333,0.04231333,1.658311,-0.2131223,347.1329
7,F,-1,303.6555,0.04198341,1.661943,-0.2127194,346.6172
7,F,-1,303.8778,0.05379944,1.663635,-0.2072396,355.0603
7,F,-1,304.1,0.0708148,1.660934,-0.2036986,4.964874
7,F,-1,304.3222,0.08538292,1.658418,-0.2012066,11.74638
7,F,-1,304.5445,0.09543373,1.658144,-0.1992838,16.50747
7,F,-1,304.7667,0.1005175,1.65829,-0.1968144,18.73734
7,F,-1,304.9889,0.102395,1.65772,-0.1925703,18.91431
7,F,-1,305.2111,0.1012204,1.656503,-0.1863929,15.75678
7,F,-1,305.4333,0.0956359,1.657271,-0.1791445,8.983446
7,F,-1,305.6555,0.09250433,1.659449,-0.1713389,4.978096
7,F,-1,305.8778,0.1033863,1.658963,-0.1686024,11.48866
7,F,-1,306.1,0.1190153,1.660224,-0.1772979,24.32644
7,F,-1,306.3222,0.1086135,1.661526,-0.1720863,19.10391
7,F,-1,306.5445,0.09766842,1.66181,-0.1663322,13.22557
7,F,-1,306.7667,0.101739,1.661165,-0.1674767,16.18213
7,F,-1,306.9889,0.1047409,1.660485,-0.1684135,18.09775
7,F,-1,307.2111,0.1102351,1.659331,-0.1676646,21.96794
7,F,-1,307.4333,0.118595,1.659383,-0.1691948,27.44893
7,F,-1,307.6555,0.1217723,1.66086,-0.1685571,28.53232
7,F,-1,307.8778,0.1190528,1.664291,-0.1637741,25.83599
7,F,-1,308.1,0.1080008,1.665171,-0.1562421,18.2093
7,F,-1,308.3222,0.09202649,1.663665,-0.1493743,8.135667
7,F,-1,308.5445,0.07429148,1.660532,-0.1487041,356.7023
7,F,-1,308.7667,0.06507228,1.65875,-0.1530183,351.1869
7,F,-1,308.9889,0.05727794,1.656968,-0.1560049,350.1971
7,F,-1,309.2111,0.0452714,1.650363,-0.1613416,347.4854
7,F,-1,309.4333,0.03894348,1.644304,-0.1683839,345.8408
