Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
14,f,-1,315.2667,-0.05083843,1.627583,-0.5041804,356.5351
14,f,-1,315.4889,-0.04017761,1.643212,-0.5453677,353.2132
14,f,-1,315.7111,-0.04431396,1.632774,-0.5552477,353.9979
14,f,-1,315.9333,-0.06047341,1.652256,-0.5485881,0.551802
14,f,-1,316.1555,-0.07161757,1.648455,-0.533747,3.306776
14,f,-1,316.3778,-0.08485346,1.65299,-0.5272598,2.040653
14,f,-1,316.6,-0.09236232,1.651594,-0.5337577,0.8235037
14,f,-1,316.8222,-0.0869006,1.646065,-0.5401981,4.142356
14,f,-1,317.0445,-0.07992166,1.645468,-0.5451709,5.841786
14,f,-1,317.2667,-0.08021075,1.643233,-0.5513477,3.51776
14,f,-1,317.4889,-0.08369765,1.643208,-0.5572546,1.164944
14,f,-1,317.7111,-0.08634907,1.645563,-0.5593001,359.1148
14,f,-1,317.9333,-0.08968929,1.645524,-0.5588607,358.052
14,f,-1,318.1555,-0.08842716,1.642569,-0.5613275,358.2148
14,f,-1,318.3778,-0.08651845,1.641796,-0.5625472,357.1731
14,f,-1,318.6,-0.08486329,1.641754,-0.5586736,355.9335
14,f,-1,318.8222,-0.08388628,1.640611,-0.555225,356.5962
14,f,-1,319.0445,-0.08285353,1.64165,-0.5560664,357.5093
14,f,-1,319.2667,-0.08072305,1.642009,-0.5581359,357.9516
14,f,-1,319.4889,-0.08005244,1.643111,-0.5611826,356.451
14,f,-1,319.7111,-0.07620031,1.642514,-0.5630586,357.5674
14,f,-1,319.9333,-0.07691064,1.64291,-0.5629472,356.6317
14,f,-1,320.1555,-0.07862433,1.6431,-0.5610719,354.8146
14,f,-1,320.3778,-0.07580019,1.643444,-0.5551359,354.4332
14,f,-1,320.6,-0.06239178,1.647395,-0.5295411,353.8933
14,f,-1,320.8222,-0.05062396,1.633224,-0.4921701,356.909
14,f,-1,321.0445,-0.07624022,1.630764,-0.4318063,358.0569
14,f,-1,321.2667,-0.1305915,1.632133,-0.3510764,356.0907
14,f,-1,321.4889,-0.172204,1.633214,-0.2613433,355.6726
14,f,-1,321.7111,-0.1821577,1.632533,-0.1579256,355.7238
14,f,-1,321.9333,-0.159913,1.638219,-0.07831724,0.1683243
14,f,-1,322.1556,-0.1430667,1.640623,-0.05412543,6.093192
14,f,-1,322.3778,-0.1496604,1.626889,-0.08797642,8.330737
14,f,-1,322.6,-0.1663503,1.621905,-0.140225,7.991673
14,f,-1,322.8222,-0.1731943,1.626846,-0.1576212,5.466354
14,f,-1,323.0445,-0.1534342,1.624809,-0.1154441,4.223087
14,f,-1,323.2667,-0.1147194,1.63032,-0.0336606,0.5525491
14,f,-1,323.4889,-0.09445519,1.621981,0.04108004,352.0598
14,f,-1,323.7111,-0.1198909,1.612432,0.1208024,343.7668
14,f,-1,323.9333,-0.2001427,1.591345,0.2302281,339.6669
14,f,-1,324.1556,-0.3030181,1.605146,0.3714718,339.295
14,f,-1,324.3778,-0.3679365,1.608908,0.5224724,341.8353
14,f,-1,324.6,-0.3855334,1.593596,0.6965371,344.5718
14,f,-1,324.8222,-0.3823262,1.609139,0.8797445,344.0257
14,f,-1,325.0445,-0.3925841,1.621183,1.020303,343.527
14,f,-1,325.2667,-0.4083117,1.613703,1.107593,345.1116
14,f,-1,325.4889,-0.4143645,1.617623,1.148631,346.3419
14,f,-1,325.7111,-0.4035248,1.613216,1.163307,347.1668
