Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
25,m,-1,238.8333,-0.0323798,1.790162,0.06385985,1.031144
25,m,-1,239.0556,-0.03535758,1.811215,0.05949122,357.9586
25,m,-1,239.2778,-0.04381074,1.830358,0.0472824,351.7796
25,m,-1,239.5,-0.05408466,1.842099,0.03471391,344.4108
25,m,-1,239.7222,-0.05269001,1.84646,0.02884132,345.3574
25,m,-1,239.9444,-0.03650936,1.847691,0.02647195,356.4002
25,m,-1,240.1667,-0.02682521,1.849974,0.02478797,0.2688085
25,m,-1,240.3889,-0.01866318,1.850896,0.02757148,4.780456
25,m,-1,240.6111,-0.01197068,1.850839,0.03188439,8.564487
25,m,-1,240.8333,-0.02887681,1.849562,0.03464606,354.653
25,m,-1,241.0556,-0.03731147,1.84971,0.03508675,349.4212
25,m,-1,241.2778,-0.04366437,1.852298,0.03121775,346.3308
25,m,-1,241.5,-0.05248427,1.852048,0.02225119,341.3889
25,m,-1,241.7222,-0.04990826,1.851926,0.01629467,344.6377
25,m,-1,241.9444,-0.04574782,1.854962,0.01471588,347.5554
25,m,-1,242.1667,-0.04352374,1.860141,0.0166196,347.7986
25,m,-1,242.3889,-0.04341264,1.85742,0.02085829,346.6852
25,m,-1,242.6111,-0.04644078,1.853988,0.02389777,344.6342
25,m,-1,242.8333,-0.03563261,1.85184,0.02543455,352.7841
25,m,-1,243.0556,-0.01906825,1.851632,0.02267062,3.834785
25,m,-1,243.2778,-0.01156644,1.849808,0.01928191,6.870042
25,m,-1,243.5,-0.01412331,1.849127,0.01780734,4.234037
25,m,-1,243.7222,-0.02068646,1.849409,0.01915855,359.8935
25,m,-1,243.9444,-0.02243062,1.849016,0.0223198,358.7361
25,m,-1,244.1667,-0.0174045,1.849755,0.02436848,1.866946
25,m,-1,244.3889,-0.01097377,1.851357,0.02526746,4.863122
25,m,-1,244.6111,-0.007184813,1.851247,0.02329358,6.220397
25,m,-1,244.8333,-0.006583063,1.852556,0.02012159,6.300144
25,m,-1,245.0556,-0.0112245,1.855821,0.0190601,2.856702
25,m,-1,245.2778,-0.02383544,1.858412,0.01848204,354.3697
25,m,-1,245.5,-0.03697558,1.860425,0.01748155,345.9732
25,m,-1,245.7222,-0.04420353,1.861163,0.0165399,342.3453
25,m,-1,245.9445,-0.03580113,1.861004,0.01800031,348.1814
25,m,-1,246.1667,-0.02015242,1.861825,0.01827165,358.5182
25,m,-1,246.3889,-0.009399176,1.863214,0.01588293,5.528529
25,m,-1,246.6111,-0.0001844047,1.863316,0.01252285,12.40224
25,m,-1,246.8333,0.0006310372,1.863214,0.009195019,13.16706
25,m,-1,247.0556,-0.002374358,1.863883,0.00892189,10.41077
25,m,-1,247.2778,-0.001396617,1.863843,0.01153138,10.60407
25,m,-1,247.5,-0.005649014,1.864446,0.01552169,7.312708
25,m,-1,247.7222,-0.01501552,1.86636,0.01786287,1.105725
25,m,-1,247.9445,-0.02166603,1.867515,0.01602441,356.8286
25,m,-1,248.1667,-0.02827449,1.868254,0.0135987,352.1396
25,m,-1,248.3889,-0.03300727,1.868207,0.01325765,348.4931
25,m,-1,248.6111,-0.03707217,1.865875,0.01473137,345.6639
25,m,-1,248.8333,-0.04156715,1.861839,0.01563047,343.0744
25,m,-1,249.0556,-0.0468438,1.86059,0.01661885,341.1565
25,m,-1,249.2778,-0.04717603,1.860766,0.02023205,342.7218
25,m,-1,249.5,-0.03509635,1.858743,0.02505035,351.6422
25,m,-1,249.7222,-0.02330669,1.858668,0.02404819,0.1925746
25,m,-1,249.9445,-0.01020102,1.85904,0.0205988,10.27653
25,m,-1,250.1667,0.0005175192,1.859586,0.01778026,17.46891
25,m,-1,250.3889,-0.007253903,1.8602,0.02014614,11.06274
25,m,-1,250.6111,-0.02866068,1.860752,0.02310003,356.3928
25,m,-1,250.8333,-0.03887857,1.859084,0.02605332,350.9083
25,m,-1,251.0556,-0.04267925,1.85797,0.02954054,348.82
25,m,-1,251.2778,-0.04171482,1.857344,0.02952025,349.0243
25,m,-1,251.5,-0.02734816,1.856625,0.02701893,358.215
25,m,-1,251.7222,-0.0167219,1.855644,0.02202561,4.913021
25,m,-1,251.9445,-0.01802762,1.855776,0.02039483,4.214287
25,m,-1,252.1667,-0.02398376,1.854208,0.02097168,0.1113713
25,m,-1,252.3889,-0.03156684,1.853853,0.02023733,354.705
25,m,-1,252.6111,-0.02853606,1.853813,0.01993527,356.6535
25,m,-1,252.8333,-0.02447848,1.855248,0.02079128,358.1967
25,m,-1,253.0556,-0.03123981,1.859551,0.01985453,353.6975
25,m,-1,253.2778,-0.03817587,1.861099,0.01708805,350.9624
25,m,-1,253.5,-0.04491176,1.862313,0.01497286,349.5817
25,m,-1,253.7222,-0.05106445,1.862705,0.0159852,349.337
25,m,-1,253.9445,-0.0599123,1.86211,0.02133457,348.558
25,m,-1,254.1667,-0.06749372,1.861919,0.03274707,348.0717
25,m,-1,254.3889,-0.07689753,1.862595,0.03979631,344.9514
25,m,-1,254.6111,-0.08679385,1.864156,0.03436691,338.9878
25,m,-1,254.8333,-0.08012363,1.864601,0.03431648,339.8343
25,m,-1,255.0556,-0.07431648,1.865925,0.03691249,340.7458
25,m,-1,255.2778,-0.07035913,1.866185,0.0436516,341.8505
25,m,-1,255.5,-0.07694551,1.865887,0.058291,343.1882
25,m,-1,255.7222,-0.1016887,1.860297,0.08775222,344.9622
25,m,-1,255.9445,-0.1168182,1.851553,0.1385947,347.9321
25,m,-1,256.1667,-0.1069202,1.843092,0.2197001,348.9727
