Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
33,m,-1,63.7,-0.01508445,1.786564,-0.05598306,1.140665
33,m,-1,63.92222,-0.01774979,1.788293,-0.05956046,0.5525241
33,m,-1,64.14445,-0.03096018,1.79388,-0.06622633,352.0977
33,m,-1,64.36667,-0.04549252,1.80089,-0.08187565,341.824
33,m,-1,64.58889,-0.03942645,1.80653,-0.09092549,344.1485
33,m,-1,64.81111,-0.01703503,1.814592,-0.09562062,355.1704
33,m,-1,65.03333,0.006947521,1.814687,-0.09920546,6.617782
33,m,-1,65.25555,0.02583709,1.813588,-0.1051479,16.43974
33,m,-1,65.47778,0.04157522,1.812812,-0.1166393,26.06457
33,m,-1,65.7,0.02163382,1.812723,-0.1143832,15.70252
33,m,-1,65.92223,-0.008604512,1.810357,-0.1149893,0.239353
33,m,-1,66.14445,-0.01996713,1.808594,-0.1217468,356.4735
33,m,-1,66.36667,-0.02831471,1.807731,-0.1287172,353.1006
33,m,-1,66.58889,-0.04692911,1.80715,-0.1379952,341.8955
33,m,-1,66.81111,-0.02123618,1.808524,-0.1346422,358.7133
33,m,-1,67.03333,0.005348936,1.809965,-0.1346647,14.0625
33,m,-1,67.25555,0.003610071,1.808343,-0.1310616,14.12571
33,m,-1,67.47778,-0.01263188,1.801362,-0.1268875,6.477107
33,m,-1,67.7,-0.0195453,1.795043,-0.1301629,4.478919
33,m,-1,67.92223,-0.0144062,1.789535,-0.1419078,8.168212
33,m,-1,68.14445,-0.001309926,1.790933,-0.1573127,15.30417
33,m,-1,68.36667,0.00322016,1.792673,-0.1654479,15.78905
33,m,-1,68.58889,-0.009689748,1.793215,-0.161885,4.930106
33,m,-1,68.81111,-0.01400285,1.794558,-0.1558075,1.272975
33,m,-1,69.03333,-0.01641947,1.792472,-0.1496571,359.0201
33,m,-1,69.25555,-0.02590643,1.793107,-0.1427297,352.9974
33,m,-1,69.47778,-0.0221194,1.79438,-0.1306783,356.5048
33,m,-1,69.7,-0.02073719,1.795702,-0.1225873,357.4357
33,m,-1,69.92223,-0.02858313,1.798833,-0.1237662,353.6013
33,m,-1,70.14445,-0.01172784,1.802834,-0.1289384,5.761353
33,m,-1,70.36667,0.0001667961,1.8041,-0.1355915,13.44318
33,m,-1,70.58889,-0.003724626,1.805085,-0.1374809,10.68176
33,m,-1,70.81111,-0.02183447,1.807202,-0.1365758,359.4482
33,m,-1,71.03333,-0.03240301,1.807828,-0.1362578,354.2977
33,m,-1,71.25555,-0.03097606,1.806632,-0.1329464,356.2574
33,m,-1,71.47778,-0.02946255,1.80093,-0.1290489,359.1049
33,m,-1,71.7,-0.03183361,1.796961,-0.130829,358.6406
33,m,-1,71.92223,-0.02085507,1.796545,-0.1354803,6.646551
33,m,-1,72.14445,-0.01334148,1.79691,-0.1330341,13.04286
33,m,-1,72.36667,-0.03755769,1.804447,-0.1156074,5.971981
33,m,-1,72.58889,-0.06452273,1.807349,-0.07757593,1.192445
33,m,-1,72.81111,-0.06888029,1.803133,-0.0003019907,357.9394
33,m,-1,73.03333,-0.04798555,1.791371,0.1144972,353.4717
33,m,-1,73.25555,-0.01811897,1.80075,0.2445234,350.5242
33,m,-1,73.47778,-0.0215687,1.798376,0.3500532,347.0801
