Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
31,m,-1,47.84444,-0.02547902,1.838494,-0.00530748,0.01726943
31,m,-1,48.06667,-0.02761231,1.839281,-0.008577585,359.1875
31,m,-1,48.28889,-0.03375056,1.841284,-0.01295482,355.8876
31,m,-1,48.51111,-0.04613356,1.845253,-0.01933907,347.6722
31,m,-1,48.73333,-0.04856298,1.846159,-0.02700835,346.5773
31,m,-1,48.95555,-0.04190426,1.84661,-0.03266604,353.0552
31,m,-1,49.17778,-0.03355441,1.848151,-0.03805505,0.1866344
31,m,-1,49.4,-0.02567311,1.84903,-0.04206138,5.688741
31,m,-1,49.62222,-0.01725539,1.857513,-0.04396279,11.91657
31,m,-1,49.84444,-0.01683199,1.852372,-0.04900532,13.10233
31,m,-1,50.06667,-0.01624254,1.854085,-0.04806075,15.99408
31,m,-1,50.28889,-0.02553224,1.851474,-0.04213581,12.40455
31,m,-1,50.51111,-0.04485919,1.851683,-0.04107486,359.5313
31,m,-1,50.73333,-0.05430616,1.851139,-0.04357898,353.187
31,m,-1,50.95555,-0.0575104,1.851247,-0.04548137,350.5197
31,m,-1,51.17778,-0.04662778,1.850883,-0.04496758,357.2394
31,m,-1,51.4,-0.03269408,1.849842,-0.04472103,5.131896
31,m,-1,51.62222,-0.01915017,1.849044,-0.04566814,13.60302
31,m,-1,51.84444,-0.01182287,1.84942,-0.047334,17.60945
31,m,-1,52.06667,-0.02026788,1.850251,-0.04538459,10.61514
31,m,-1,52.28889,-0.02869399,1.847687,-0.04506643,3.578226
31,m,-1,52.51111,-0.03473502,1.848333,-0.04642644,0.1893852
31,m,-1,52.73333,-0.03726886,1.848376,-0.0482274,0.9475775
31,m,-1,52.95555,-0.03861745,1.848446,-0.05049297,3.088713
31,m,-1,53.17778,-0.03645592,1.847169,-0.0537092,5.51288
31,m,-1,53.4,-0.0329816,1.845651,-0.05700564,7.069211
31,m,-1,53.62222,-0.03490574,1.84631,-0.05864446,5.140987
31,m,-1,53.84444,-0.03638935,1.846205,-0.05928677,3.802216
31,m,-1,54.06667,-0.03821928,1.845075,-0.0594753,2.629894
31,m,-1,54.28889,-0.0344091,1.844751,-0.06137202,5.186304
31,m,-1,54.51111,-0.03502506,1.847374,-0.06374747,4.464813
