Participant ID,gender,Level,Time,PosX,PosY,PosZ,Facing Angle
36,M,-1,222.4444,0.01087288,1.745825,0.08488487,359.0678
36,M,-1,222.6667,0.01085437,1.746052,0.08480583,358.6913
36,M,-1,222.8889,0.009651165,1.746608,0.08480807,358.1529
36,M,-1,223.1111,0.004010731,1.749035,0.08198742,353.1226
36,M,-1,223.3333,-0.005930725,1.751556,0.07185937,338.4224
36,M,-1,223.5556,-0.007612368,1.753553,0.05775051,325.5132
36,M,-1,223.7778,0.0003019646,1.755434,0.05166151,325.6039
36,M,-1,224,0.02018221,1.755914,0.05311692,344.1779
36,M,-1,224.2222,0.02353421,1.754016,0.04757431,353.1966
36,M,-1,224.4444,0.03183823,1.753732,0.0421848,5.889683
36,M,-1,224.6667,0.03847207,1.755743,0.03362352,17.25067
36,M,-1,224.8889,0.04190366,1.756392,0.02578419,24.28176
36,M,-1,225.1111,0.03383351,1.75436,0.02794425,18.77662
36,M,-1,225.3333,0.01864263,1.752388,0.03170902,3.673167
36,M,-1,225.5556,0.0151488,1.750316,0.03036229,355.6143
36,M,-1,225.7778,0.00664225,1.750322,0.02360395,342.5945
36,M,-1,226,0.005717987,1.751613,0.01807611,337.63
36,M,-1,226.2222,0.02523757,1.751179,0.02100838,351.6354
36,M,-1,226.4444,0.03582237,1.74992,0.01928787,1.391247
36,M,-1,226.6667,0.04774214,1.748572,0.01731155,12.43958
36,M,-1,226.8889,0.04894424,1.746046,0.01915785,15.81238
36,M,-1,227.1111,0.03601397,1.745807,0.02272787,6.995181
36,M,-1,227.3333,0.0288387,1.743781,0.02016426,358.6806
36,M,-1,227.5556,0.04374657,1.740516,0.01709473,1.155997
36,M,-1,227.7778,0.04837029,1.738571,0.01620665,352.9708
36,M,-1,228,0.05164989,1.73719,0.01687925,341.8931
36,M,-1,228.2222,0.06868288,1.735415,0.02466052,342.9687
36,M,-1,228.4444,0.08165365,1.736683,0.03970079,344.053
36,M,-1,228.6667,0.07804762,1.739143,0.07008302,343.9561
36,M,-1,228.8889,0.04227575,1.739433,0.1216407,344.0656
36,M,-1,229.1111,-0.03366324,1.733417,0.1835141,345.8564
36,M,-1,229.3333,-0.1007826,1.743291,0.2481292,348.9863
36,M,-1,229.5556,-0.1275842,1.739615,0.3213249,352.6612
36,M,-1,229.7778,-0.1176495,1.728392,0.4214703,351.3799
36,M,-1,230,-0.07809257,1.734305,0.5430107,347.1108
36,M,-1,230.2222,-0.0590722,1.745377,0.6471487,341.4585
36,M,-1,230.4444,-0.08946234,1.739128,0.737343,338.1511
36,M,-1,230.6667,-0.1669044,1.722426,0.8178004,339.9708
36,M,-1,230.8889,-0.2527716,1.730984,0.8894489,342.5789
36,M,-1,231.1111,-0.3158671,1.730924,0.947798,347.4537
36,M,-1,231.3333,-0.3507007,1.732755,0.9889657,346.0748
36,M,-1,231.5556,-0.3535159,1.729647,1.013087,345.5478
36,M,-1,231.7778,-0.3519695,1.722468,1.010526,348.2004
36,M,-1,232,-0.3538613,1.724761,0.9927032,350.4398
36,M,-1,232.2222,-0.3553239,1.723655,0.9833171,352.1938
36,M,-1,232.4444,-0.3355049,1.721128,0.988148,4.945008
36,M,-1,232.6667,-0.2989264,1.720262,0.991596,20.08586
36,M,-1,232.8889,-0.2498323,1.723562,0.9916682,22.78371
36,M,-1,233.1111,-0.1843522,1.726836,0.997233,21.00764
36,M,-1,233.3333,-0.1139649,1.726373,0.9993951,21.93886
36,M,-1,233.5556,-0.04656434,1.725038,0.9948807,32.49031
36,M,-1,233.7778,-0.002692194,1.725217,0.9942779,35.51431
36,M,-1,234,0.02734172,1.728999,0.9960016,35.55352
36,M,-1,234.2222,0.04473665,1.728276,0.9999121,33.61622
36,M,-1,234.4444,0.04814872,1.727542,1.005992,30.10365
36,M,-1,234.6667,0.03459494,1.729503,1.026753,15.37796
36,M,-1,234.8889,0.006207178,1.725486,1.036887,356.3718
36,M,-1,235.1111,-0.03002006,1.731345,1.000996,346.0068
36,M,-1,235.3333,-0.09042139,1.737669,0.9453022,333.3977
36,M,-1,235.5556,-0.1508342,1.739811,0.8829396,319.2097
36,M,-1,235.7778,-0.1975873,1.737652,0.8251753,306.2662
36,M,-1,236,-0.2271965,1.737814,0.7842606,295.1501
36,M,-1,236.2222,-0.2372853,1.742332,0.745257,275.6736
36,M,-1,236.4444,-0.2080274,1.74207,0.7306968,251.0479
36,M,-1,236.6667,-0.1622948,1.745773,0.7574943,236.0323
36,M,-1,236.8889,-0.1278267,1.747824,0.7957317,232.7764
36,M,-1,237.1111,-0.1270574,1.746916,0.8096319,231.465
36,M,-1,237.3333,-0.1780282,1.744573,0.7921259,235.1219
36,M,-1,237.5556,-0.2761262,1.734147,0.7263235,241.2825
36,M,-1,237.7778,-0.3863396,1.74405,0.6558182,246.0325
36,M,-1,238,-0.5026184,1.750515,0.6075119,248.0589
36,M,-1,238.2222,-0.6466565,1.734483,0.5732951,248.104
36,M,-1,238.4444,-0.8002849,1.750805,0.5519538,247.1409
36,M,-1,238.6667,-0.9157975,1.757181,0.5137105,245.173
36,M,-1,238.8889,-1.017371,1.742256,0.4457092,244.1456
36,M,-1,239.1111,-1.109477,1.743408,0.3413466,247.1642
36,M,-1,239.3333,-1.193684,1.750101,0.2544113,251.1222
36,M,-1,239.5556,-1.276359,1.742009,0.2020684,253.8495
36,M,-1,239.7778,-1.374219,1.731711,0.1687038,250.4122
36,M,-1,240,-1.467731,1.732112,0.1368396,246.1246
36,M,0,253.9556,-0.02139374,1.752384,-0.4325128,358.8177
36,M,0,254.1778,-0.02262832,1.752273,-0.4312554,358.3536
